t,lFA_w,lFA_x,lFA_y,lFA_z,rFA_w,rFA_x,rFA_y,rFA_z,lUA_w,lUA_x,lUA_y,lUA_z,rUA_w,rUA_x,rUA_y,rUA_z,lTH_w,lTH_x,lTH_y,lTH_z,rTH_w,rTH_x,rTH_y,rTH_z,lSH_w,lSH_x,lSH_y,lSH_z,rSH_w,rSH_x,rSH_y,rSH_z,hips_w,hips_x,hips_y,hips_z,chest_w,chest_x,chest_y,chest_z
0,0.982835,0.134586,-0.125476,0.0133108,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0070873,0.982835,0.134586,-0.125476,0.0133108,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0143492,0.982752,0.134736,-0.126014,0.0128525,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0214075,0.982651,0.134831,-0.126747,0.0123444,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0287649,0.982585,0.134893,-0.127223,0.0120141,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.041229,0.982525,0.134861,-0.127741,0.0117992,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0563893,0.982435,0.134878,-0.12843,0.0116248,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0639933,0.982435,0.134878,-0.12843,0.0116248,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0711263,0.98233,0.135062,-0.129051,0.0114762,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0782479,0.98233,0.135062,-0.129051,0.0114762,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0854004,0.982171,0.135569,-0.129737,0.0113449,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.0924876,0.982068,0.135899,-0.130182,0.0112595,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.103618,0.982068,0.135899,-0.130182,0.0112595,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.110633,0.981945,0.136355,-0.130644,0.0111337,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.117666,0.981945,0.136355,-0.130644,0.0111337,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.124672,0.981945,0.136355,-0.130644,0.0111337,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.143356,0.981672,0.137389,-0.131647,0.0106672,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.155016,0.981416,0.138515,-0.132402,0.0103288,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.16682,0.981248,0.139246,-0.132893,0.0101088,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.176867,0.980964,0.140912,-0.133247,0.00989588,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
